phrase;date;count;affinity
сотворчество;2026-03-30;4180;142
сотворчество;2026-04-06;4310;144
сотворчество;2026-04-13;4460;146
сотворчество;2026-04-20;4390;145
сотворчество;2026-04-27;4720;150
сотворчество;2026-05-04;4890;152
сотворчество;2026-05-11;5010;154
сотворчество;2026-05-18;4930;153
сотворчество;2026-05-25;5260;157
сотворчество;2026-06-01;5410;159
сотворчество;2026-06-08;5580;161
сотворчество;2026-06-15;5510;160
сотворчество;2026-06-22;5790;164
сотворчество;2026-06-29;5940;166
сотворчество;2026-07-06;6120;169
сотворчество;2026-07-13;6280;172
